Date,Price,Open,High,Low,Vol.,Change %
385,2012-05-14,139.1,139.1,139.1,139.1,-,-0.78%
386,2012-05-15,138.9,138.9,138.9,138.9,-,-0.14%
387,2012-05-16,138.6,138.6,138.6,138.6,-,-0.22%
388,2012-05-17,138.4,138.4,138.4,138.4,-,-0.14%
389,2012-05-18,137.9,137.9,137.9,137.9,-,-0.36%
390,2012-05-21,138.0,138.0,138.0,138.0,-,0.07%
391,2012-05-22,137.8,137.8,137.8,137.8,-,-0.14%
392,2012-05-23,137.4,137.4,137.4,137.4,-,-0.29%
393,2012-05-24,137.2,137.2,137.2,137.2,-,-0.15%
394,2012-05-25,137.0,137.0,137.0,137.0,-,-0.15%
395,2012-05-29,136.4,136.4,136.4,136.4,-,-0.44%
396,2012-05-30,136.4,136.4,136.4,136.4,-,0.00%
397,2012-05-31,136.3,136.3,136.3,136.3,-,-0.07%
398,2012-06-01,132.0,132.0,132.0,132.0,-,-3.15%
399,2012-06-04,132.0,132.0,132.0,132.0,-,0.00%
400,2012-06-05,132.0,132.0,132.0,132.0,-,0.00%
401,2012-06-06,129.8,129.8,129.8,129.8,-,-1.67%
402,2012-06-07,131.8,131.8,131.8,131.8,-,1.54%
403,2012-06-08,131.2,131.2,131.2,131.2,-,-0.46%
404,2012-06-11,131.9,131.9,131.9,131.9,-,0.53%
405,2012-06-12,132.2,132.2,132.2,132.2,-,0.23%
406,2012-06-13,133.3,133.3,133.3,133.3,-,0.83%
407,2012-06-14,133.6,133.6,133.6,133.6,-,0.23%
408,2012-06-15,133.7,133.7,133.7,133.7,-,0.07%
409,2012-06-18,134.3,134.3,134.3,134.3,-,0.45%
410,2012-06-19,134.4,134.4,134.4,134.4,-,0.07%
411,2012-06-20,134.5,134.5,134.5,134.5,-,0.07%
412,2012-06-21,134.5,134.5,134.5,134.5,-,0.00%
413,2012-06-22,134.5,134.5,134.5,134.5,-,0.00%
414,2012-06-25,134.6,134.6,134.6,134.6,-,0.07%
415,2012-06-26,134.6,134.6,134.6,134.6,-,0.00%
416,2012-06-27,134.6,134.6,134.6,134.6,-,0.00%
417,2012-06-28,134.6,134.6,134.6,134.6,-,0.00%
418,2012-06-29,134.6,134.6,134.6,134.6,-,0.00%
419,2012-07-02,131.8,131.8,131.8,131.8,-,-2.08%
420,2012-07-03,134.0,134.0,134.0,134.0,-,1.67%
421,2012-07-05,134.7,134.7,134.7,134.7,-,0.52%
422,2012-07-06,134.1,134.1,134.1,134.1,-,-0.45%
423,2012-07-09,134.3,134.3,134.3,134.3,-,0.15%
424,2012-07-10,133.4,133.4,133.4,133.4,-,-0.67%
425,2012-07-11,133.5,133.5,133.5,133.5,-,0.07%
426,2012-07-12,133.6,133.6,133.6,133.6,-,0.07%
427,2012-07-13,133.3,133.3,133.3,133.3,-,-0.22%
