Date,Price,Open,High,Low,Vol.,Change %
280,2011-02-11,"1,359.90","1,364.00","1,368.80","1,355.20",0.49K,-0.15%
281,2011-02-14,"1,364.60","1,357.80","1,365.60","1,356.60",0.18K,0.35%
282,2011-02-15,"1,373.60","1,361.60","1,376.00","1,361.60",0.32K,0.66%
283,2011-02-16,"1,374.70","1,373.60","1,382.00","1,370.50",0.16K,0.08%
284,2011-02-17,"1,384.70","1,377.70","1,384.70","1,377.00",0.11K,0.73%
285,2011-02-18,"1,388.20","1,384.10","1,391.80","1,381.80",0.10K,0.25%
286,2011-02-22,"1,400.50","1,395.10","1,408.70","1,395.10",0.43K,0.89%
287,2011-02-23,"1,413.40","1,397.80","1,413.80","1,397.80",0.32K,0.92%
288,2011-02-24,"1,415.30","1,415.10","1,415.30","1,408.30",0.07K,0.13%
289,2011-02-25,"1,408.70","1,401.70","1,411.00","1,401.00",0.35K,-0.47%
290,2011-02-28,"1,409.30","1,410.70","1,415.70","1,407.70",0.21K,0.04%
291,2011-03-01,"1,430.70","1,415.30","1,434.40","1,415.30",0.12K,1.52%
292,2011-03-02,"1,437.20","1,432.50","1,440.50","1,428.80",1.60K,0.45%
293,2011-03-03,"1,416.00","1,432.30","1,432.30","1,415.90",0.24K,-1.48%
294,2011-03-04,"1,428.20","1,418.90","1,429.80","1,416.80",0.06K,0.86%
295,2011-03-07,"1,434.10","1,434.50","1,445.00","1,429.50",0.61K,0.41%
296,2011-03-08,"1,426.90","1,431.60","1,432.60","1,424.30",0.20K,-0.50%
297,2011-03-09,"1,429.30","1,430.00","1,435.70","1,426.10",0.10K,0.17%
298,2011-03-10,"1,412.20","1,429.50","1,429.80","1,403.80",0.02K,-1.20%
299,2011-03-11,"1,421.50","1,413.70","1,422.60","1,404.90",0.02K,0.66%
300,2011-03-14,"1,424.60","1,420.00","1,427.70","1,420.00",0.06K,0.22%
301,2011-03-15,"1,392.60","1,413.30","1,413.30","1,385.50",0.02K,-2.25%
302,2011-03-16,"1,396.00","1,398.00","1,404.20","1,394.30",0.04K,0.24%
303,2011-03-17,"1,404.00","1,387.70","1,393.60","1,387.70",0.03K,0.57%
304,2011-03-18,"1,415.90","1,406.40","1,419.30","1,406.40",0.01K,0.85%
305,2011-03-21,"1,426.20","1,433.50","1,433.50","1,430.80",0.04K,0.73%
306,2011-03-22,"1,427.50","1,430.40","1,430.40","1,430.40",0.09K,0.09%
307,2011-03-23,"1,437.90","1,432.20","1,439.70","1,432.20",0.02K,0.73%
308,2011-03-24,"1,434.80","1,437.70","1,446.90","1,437.50",0.03K,-0.22%
309,2011-03-25,"1,426.10","1,436.00","1,436.00","1,436.00",0.00K,-0.61%
310,2011-03-28,"1,419.80","1,413.20","1,415.60","1,413.20",0.01K,-0.44%
311,2011-03-29,"1,416.00","1,416.00","1,416.00","1,416.00",-,-0.27%
