Date,Price,Open,High,Low,Vol.,Change %
247,2011-02-01,"27,977.00","27,977.00","27,977.00","27,977.00",-,2.36%
248,2011-02-02,"27,986.00","27,986.00","27,986.00","27,986.00",-,0.03%
249,2011-02-03,"27,935.00","27,935.00","27,935.00","27,935.00",-,-0.18%
250,2011-02-04,"28,350.00","28,350.00","28,350.00","28,350.00",-,1.49%
251,2011-02-07,"28,292.00","28,292.00","28,292.00","28,292.00",-,-0.20%
252,2011-02-08,"28,366.00","28,366.00","28,366.00","28,366.00",-,0.26%
253,2011-02-09,"28,357.00","28,357.00","28,357.00","28,357.00",-,-0.03%
254,2011-02-10,"27,830.00","27,830.00","27,830.00","27,830.00",-,-1.86%
255,2011-02-11,"28,276.50","28,276.50","28,276.50","28,276.50",-,1.60%
256,2011-02-14,"28,868.00","28,868.00","28,868.00","28,868.00",-,2.09%
257,2011-02-17,"28,468.00","28,468.00","28,468.00","28,468.00",-,-1.39%
258,2011-02-18,"29,128.00","29,128.00","29,128.00","29,128.00",-,2.32%
259,2011-02-21,"29,286.00","29,286.00","29,286.00","29,286.00",-,0.54%
260,2011-02-22,"28,632.00","28,632.00","28,632.00","28,632.00",-,-2.23%
261,2011-02-23,"28,664.00","28,664.00","28,664.00","28,664.00",-,0.11%
262,2011-02-24,"27,486.00","27,486.00","27,486.00","27,486.00",-,-4.11%
263,2011-02-25,"28,175.00","28,175.00","28,175.00","28,175.00",-,2.51%
264,2011-02-28,"28,977.00","28,977.00","28,977.00","28,977.00",-,2.85%
265,2011-03-01,"28,760.00","28,760.00","28,760.00","28,760.00",-,-0.75%
266,2011-03-02,"28,582.00","28,582.00","28,582.00","28,582.00",-,-0.62%
267,2011-03-03,"28,839.00","28,839.00","28,839.00","28,839.00",-,0.90%
268,2011-03-04,"28,777.00","28,777.00","28,777.00","28,777.00",-,-0.21%
269,2011-03-07,"27,446.00","27,446.00","27,446.00","27,446.00",-,-4.63%
